# group	lemma	tag	candidate (not in wordlist/en_words.txt)
colour	colour	3sg	colours
colour	colour	3sg	(no form)
colour	colour	past	coloured
colour	colour	past	(no form)
colour	colour	pp	coloured
colour	colour	pp	(no form)
colour	colour	ing	colouring
colour	colour	ing	(no form)
colour	color	past	colorred
colour	color	pp	colorred
colour	color	ing	colorring
grey	grey	cmp	greyer
grey	grey	cmp	(no form)
grey	grey	sup	greyest
grey	grey	sup	(no form)
favourite	favourite	pl	favourites
favourite	favourite	pl	(no form)
neighbour	neighbour	pl	neighbours
neighbour	neighbour	pl	(no form)
neighbourhood	neighbourhood	pl	neighbourhoods
neighbourhood	neighbourhood	pl	(no form)
centre	centre	3sg	centres
centre	centre	3sg	(no form)
centre	centre	past	centred
centre	centre	past	(no form)
centre	centre	pp	centred
centre	centre	pp	(no form)
centre	centre	ing	centring
centre	centre	ing	centreing
centre	centre	ing	(no form)
centre	center	past	centerred
centre	center	pp	centerred
centre	center	ing	centerring
theatre	theatre	pl	theatres
theatre	theatre	pl	(no form)
litre	litre	pl	litres
litre	litre	pl	(no form)
realise	realise	3sg	realises
realise	realise	3sg	(no form)
realise	realise	past	realised
realise	realise	past	(no form)
realise	realise	pp	realised
realise	realise	pp	(no form)
realise	realise	ing	realising
realise	realise	ing	realiseing
realise	realise	ing	(no form)
realise	realize	ing	realizeing
recognise	recognise	3sg	recognises
recognise	recognise	3sg	(no form)
recognise	recognise	past	recognised
recognise	recognise	past	(no form)
recognise	recognise	pp	recognised
recognise	recognise	pp	(no form)
recognise	recognise	ing	recognising
recognise	recognise	ing	recogniseing
recognise	recognise	ing	(no form)
recognise	recognize	ing	recognizeing
organise	organise	3sg	organises
organise	organise	3sg	(no form)
organise	organise	past	organised
organise	organise	past	(no form)
organise	organise	pp	organised
organise	organise	pp	(no form)
organise	organise	ing	organising
organise	organise	ing	organiseing
organise	organise	ing	(no form)
organise	organize	ing	organizeing
apologise	apologise	3sg	apologises
apologise	apologise	3sg	(no form)
apologise	apologise	past	apologised
apologise	apologise	past	(no form)
apologise	apologise	pp	apologised
apologise	apologise	pp	(no form)
apologise	apologise	ing	apologising
apologise	apologise	ing	apologiseing
apologise	apologise	ing	(no form)
apologise	apologize	ing	apologizeing
analyse	analyse	past	analysed
analyse	analyse	past	(no form)
analyse	analyse	pp	analysed
analyse	analyse	pp	(no form)
analyse	analyse	ing	analysing
analyse	analyse	ing	analyseing
analyse	analyse	ing	(no form)
analyse	analyze	ing	analyzeing
jeweller	jeweller	pl	jewellers
jeweller	jeweller	pl	(no form)
cosy	cosy	cmp	cosier
cosy	cosy	cmp	(no form)
cosy	cosy	sup	cosiest
cosy	cosy	sup	(no form)
traveller	traveller	pl	travellers
traveller	traveller	pl	(no form)
flavour	flavour	3sg	flavours
flavour	flavour	3sg	(no form)
flavour	flavour	past	flavoured
flavour	flavour	past	(no form)
flavour	flavour	pp	flavoured
flavour	flavour	pp	(no form)
flavour	flavour	ing	flavouring
flavour	flavour	ing	(no form)
flavour	flavor	past	flavorred
flavour	flavor	pp	flavorred
flavour	flavor	ing	flavorring
humour	humour	3sg	humours
humour	humour	3sg	(no form)
humour	humour	past	humoured
humour	humour	past	(no form)
humour	humour	pp	humoured
humour	humour	pp	(no form)
humour	humour	ing	humouring
humour	humour	ing	(no form)
humour	humor	past	humorred
humour	humor	pp	humorred
humour	humor	ing	humorring
behaviour	behaviour	pl	behaviours
behaviour	behaviour	pl	(no form)
honour	honour	3sg	honours
honour	honour	3sg	(no form)
honour	honour	past	honoured
honour	honour	past	(no form)
honour	honour	pp	honoured
honour	honour	pp	(no form)
