22:33:12 START rows 1000 cap 2850000 prompts {'REWRITE': 'fa61a15bc34ed6b3', 'ANNOT': '46c5fe84210419ad', 'GOLD': '524b89b7aa4caebd'}
22:33:53 DONE rewrite_b01 att 1 exit 0 tok 36792 cum 36792 ok True
22:33:56 DONE rewrite_b03 att 1 exit 0 tok 37312 cum 74104 ok True
22:34:00 DONE rewrite_b02 att 1 exit 0 tok 37663 cum 111767 ok True
22:34:04 DONE rewrite_b04 att 1 exit 0 tok 37835 cum 149602 ok True
22:34:42 DONE rewrite_b05 att 1 exit 0 tok 37425 cum 187027 ok True
22:34:43 DONE rewrite_b08 att 1 exit 0 tok 36508 cum 223535 ok True
22:34:45 DONE rewrite_b06 att 1 exit 0 tok 37322 cum 260857 ok True
22:34:49 DONE rewrite_b07 att 1 exit 0 tok 37482 cum 298339 ok True
22:35:28 DONE rewrite_b11 att 1 exit 0 tok 37119 cum 335458 ok True
22:35:31 DONE rewrite_b09 att 1 exit 0 tok 37501 cum 372959 ok True
22:35:33 DONE rewrite_b12 att 1 exit 0 tok 37254 cum 410213 ok True
22:35:46 DONE rewrite_b10 att 1 exit 0 tok 38782 cum 448995 ok True
22:36:17 DONE rewrite_b14 att 1 exit 0 tok 37268 cum 486263 ok True
22:36:21 DONE rewrite_b15 att 1 exit 0 tok 37356 cum 523619 ok True
22:36:28 DONE rewrite_b16 att 1 exit 0 tok 36900 cum 560519 ok True
22:36:30 DONE rewrite_b13 att 1 exit 0 tok 38619 cum 599138 ok True
22:37:04 DONE rewrite_b18 att 1 exit 0 tok 37050 cum 636188 ok True
22:37:06 DONE rewrite_b19 att 1 exit 0 tok 36515 cum 672703 ok True
22:37:07 DONE rewrite_b17 att 1 exit 0 tok 37392 cum 710095 ok True
22:37:09 DONE rewrite_b20 att 1 exit 0 tok 36735 cum 746830 ok True
22:37:45 DONE rewrite_b22 att 1 exit 0 tok 36550 cum 783380 ok True
22:37:49 DONE rewrite_b23 att 1 exit 0 tok 36883 cum 820263 ok True
22:37:50 DONE rewrite_b24 att 1 exit 0 tok 36605 cum 856868 ok True
22:37:51 DONE rewrite_b21 att 1 exit 0 tok 37444 cum 894312 ok True
22:38:35 DONE rewrite_b25 att 1 exit 0 tok 37711 cum 932023 ok True
22:38:40 DONE rewrite_b26 att 1 exit 0 tok 37627 cum 969650 ok True
22:38:41 DONE rewrite_b27 att 1 exit 0 tok 37640 cum 1007290 ok True
22:38:42 DONE rewrite_b28 att 1 exit 0 tok 37735 cum 1045025 ok True
22:39:21 DONE rewrite_b29 att 1 exit 0 tok 37280 cum 1082305 ok True
22:39:24 DONE rewrite_b30 att 1 exit 0 tok 36898 cum 1119203 ok True
22:39:41 DONE rewrite_b32 att 1 exit 0 tok 36738 cum 1155941 ok True
22:39:42 DONE rewrite_b34 att 1 exit 0 tok 32676 cum 1188617 ok True
22:40:17 DONE gold_b2 att 1 exit 0 tok 35210 cum 1223827 ok True
22:40:17 DONE rewrite_b33 att 1 exit 0 tok 37748 cum 1261575 ok True
22:40:20 DONE gold_b1 att 1 exit 0 tok 35830 cum 1297405 ok True
22:40:39 DONE gold_b4 att 1 exit 0 tok 32761 cum 1330166 ok True
22:40:55 DONE gold_b3 att 1 exit 0 tok 35774 cum 1365940 ok True
22:42:29 DONE rewrite_b31 att 1 exit 0 tok 38144 cum 1404084 ok True
