concept_id	concept_level	exercise_id	exercise_level	exercise_type_id
1	B	12	B1	42
1	B	22	B2	52
2	B	45	B1	36
2	B	68	B2	59
3	B	93	B1	45
3	B	114	B2	66
4	B	132	B1	45
4	B	151	B2	64
5	B	170	B1	44
5	B	191	B2	65
6	B	208	B1	43
6	B	229	B2	64
7	B	245	B1	41
7	B	263	B2	59
8	A	22111	A1	8
8	A	22120	A2	17
9	B	331	B1	49
9	B	347	B2	65
10	B	354	B1	33
10	B	382	B2	61
11	B	403	B1	43
11	B	410	B2	50
12	B	433	B1	34
12	B	466	B2	67
13	B	483	B1	45
13	B	494	B2	56
14	B	515	B1	38
14	B	541	B2	64
15	B	554	B1	38
15	B	580	B2	64
16	B	600	B1	45
16	B	615	B2	60
17	B	632	B1	38
17	B	656	B2	62
18	B	669	B1	36
18	B	687	B2	54
19	B	720	B1	48
19	B	733	B2	61
20	B	747	B1	36
20	B	775	B2	64
21	B	782	B1	32
21	B	817	B2	67
22	B	824	B1	35
22	B	844	B2	55
23	B	871	B1	43
23	B	884	B2	56
24	B	908	B1	41
24	B	927	B2	60
25	B	937	B1	31
25	B	969	B2	63
26	B	989	B1	44
26	B	1010	B2	65
27	B	1030	B1	46
27	B	1041	B2	57
28	B	1067	B1	44
28	B	1090	B2	67
29	B	1100	B1	38
29	B	1123	B2	61
30	B	1137	B1	36
30	B	1154	B2	53
31	B	1175	B1	35
31	B	1207	B2	67
32	B	1228	B1	49
32	B	1230	B2	51
33	B	1261	B1	43
33	B	1268	B2	50
34	B	1303	B1	46
34	B	1321	B2	64
35	B	1334	B1	38
35	B	1357	B2	61
36	B	1372	B1	37
36	B	1391	B2	56
37	B	1421	B1	47
37	B	1426	B2	52
38	B	1444	B1	31
38	B	1465	B2	52
39	B	1494	B1	42
39	B	1510	B2	58
40	B	1534	B1	43
40	B	1551	B2	60
41	B	1579	B1	49
41	B	1593	B2	63
42	B	1615	B1	46
42	B	1622	B2	53
43	B	1656	B1	48
43	B	1672	B2	64
44	B	1696	B1	49
44	B	1707	B2	60
45	B	1735	B1	49
45	B	1744	B2	58
46	B	1774	B1	49
46	B	1783	B2	58
47	B	1798	B1	34
47	B	1817	B2	53
48	B	1846	B1	43
48	B	1867	B2	64
49	B	1890	B1	48
49	B	1899	B2	57
50	B	1913	B1	32
50	B	1945	B2	64
51	B	1951	B1	31
51	B	1977	B2	57
52	B	2006	B1	47
52	B	2016	B2	57
53	B	2039	B1	41
53	B	2057	B2	59
54	B	2076	B1	39
54	B	2090	B2	53
55	B	2123	B1	47
55	B	2139	B2	63
56	B	2164	B1	49
56	B	2178	B2	63
57	B	2195	B1	41
57	B	2211	B2	57
58	B	2236	B1	43
58	B	2245	B2	52
59	B	2276	B1	44
59	B	2285	B2	53
60	B	2317	B1	46
60	B	2332	B2	61
61	B	2343	B1	33
61	B	2363	B2	53
62	B	2396	B1	47
62	B	2411	B2	62
63	B	2420	B1	32
63	B	2454	B2	66
64	B	2465	B1	38
64	B	2477	B2	50
65	B	2513	B1	47
65	B	2529	B2	63
66	B	2543	B1	38
66	B	2564	B2	59
67	B	2582	B1	38
67	B	2594	B2	50
68	B	2619	B1	36
68	B	2640	B2	57
69	B	2664	B1	42
69	B	2677	B2	55
70	B	2704	B1	43
70	B	2722	B2	61
71	B	2748	B1	48
71	B	2757	B2	57
72	B	2788	B1	49
72	B	2799	B2	60
73	B	2821	B1	43
73	B	2838	B2	60
74	B	2853	B1	36
74	B	2869	B2	52
75	B	2889	B1	33
75	B	2919	B2	63
76	B	2928	B1	33
76	B	2949	B2	54
77	B	2965	B1	31
77	B	2995	B2	61
78	B	3021	B1	48
78	B	3038	B2	65
79	B	3046	B1	34
